Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
1.245717917,-3.564254761,-16.78664398,-42.68670654,46.00706732
1.255663917,-3.508010864,-16.48583984,-42.73208618,45.93604516
1.265608917,-3.449401855,-16.63305664,-42.79736328,46.04531735
1.275554917,-3.317367554,-16.70582581,-42.51409912,45.79888828
1.285499917,-3.442657471,-16.67150116,-42.52832031,45.80882961
1.295444917,-3.421737671,-16.79548645,-42.38153076,45.71641722
1.305390917,-3.225479126,-16.83229065,-42.72717285,46.03630115
1.315335917,-2.957870483,-16.69405365,-43.10943604,46.3234703
1.325280917,-3.420715332,-16.68095398,-42.89147949,46.14796347
1.335226917,-3.303482056,-16.76252747,-42.74685669,46.03465084
1.345171917,-3.487808228,-16.82236481,-42.43817139,45.78378703
1.355117917,-3.551528931,-16.65518951,-42.6026001,45.88017252
1.365062917,-3.391265869,-16.78804779,-42.57269287,45.88870679
1.375007917,-3.548538208,-16.73391724,-42.78765869,46.08036291
1.384953917,-3.503067017,-16.7542572,-42.61621094,45.92513525
1.394898917,-3.561889648,-16.48007202,-42.45291138,45.67854547
1.404843917,-3.584350586,-16.48048401,-42.41168213,45.64213737
1.414789917,-3.813415527,-16.61412048,-42.55532837,45.84241606
1.424734917,-3.834091187,-16.67471313,-42.94851685,46.2311736
1.434680917,-3.452911377,-16.63487244,-43.18664551,46.40827435
1.444625917,-3.577606201,-16.73722839,-42.56036377,45.87285302
1.454570917,-3.397201538,-16.53109741,-42.07269287,45.33133183
1.464516917,-3.46711731,-16.78379822,-42.31887817,45.65746637
1.474461917,-3.439498901,-16.90866852,-42.44329834,45.81666507
1.484407917,-3.496917725,-16.68347931,-42.69180298,45.96908697
1.494352917,-3.66607666,-16.76847076,-42.64794922,45.97248419
1.504297917,-3.742156982,-16.74338531,-42.48443604,45.81781309
1.514243917,-3.456695557,-16.9797821,-42.47644043,45.87493582
1.524188917,-3.456695557,-16.9797821,-42.47644043,45.87493582
1.534133917,-3.542160034,-16.57569122,-42.76818848,46.00454741
1.544079917,-3.492080688,-16.75730133,-42.26733398,45.6018563
1.554024917,-3.546859741,-16.80918884,-42.37393188,45.72394501
1.563970917,-3.539520264,-16.73009491,-42.04507446,45.38956451
1.573915917,-3.554580688,-16.69555664,-42.20199585,45.52345669
1.583860917,-3.518814087,-16.72473907,-42.39709473,45.71228053
1.593806917,-3.280517578,-16.67124939,-42.5279541,45.79649803
1.603751917,-3.573135376,-16.35073853,-42.52319336,45.69831419
1.613696917,-3.403884888,-16.37512207,-42.82324219,45.97348286
1.623642917,-3.747711182,-16.46948242,-42.802948,46.01501437
1.633587917,-3.553100586,-16.31279755,-42.72335815,45.86956747
1.643533917,-3.667999268,-16.45693207,-42.57867432,45.79550566
1.653478917,-3.615539551,-16.49134064,-42.34020996,45.58212173
1.663423917,-3.626983643,-16.6449585,-42.41156006,45.70503342
1.673365833,-3.770019531,-16.35635376,-42.64593506,45.83032983
1.683310833,-3.75769043,-16.38816071,-42.55740356,45.75832872
1.693255833,-3.735946655,-16.48361206,-42.64428711,45.87158148
1.703201833,-3.66960144,-16.35417938,-42.74319458,45.91193571
1.713146833,-3.715576172,-16.11332703,-42.45922852,45.56567678
1.723092833,-3.912811279,-16.21340179,-42.35665894,45.52220388
1.733037833,-3.491485596,-16.28394318,-42.33740234,45.49519661
1.742982833,-3.563034058,-16.42292786,-41.83224487,45.0815315
1.752928833,-3.670303345,-16.38834381,-42.59378052,45.78514037
1.762873833,-3.663452148,-16.48073578,-42.68270874,45.90042657
1.772818833,-3.558624268,-16.38284302,-42.71121216,45.88364628
1.782764833,-3.580963135,-16.67518616,-42.440979,45.73971829
1.792709833,-3.593643188,-16.47110748,-42.48046875,45.70341211
1.802655833,-3.463851929,-16.61618042,-42.8190918,46.06050742
1.812600833,-3.544876099,-16.3859787,-42.52511597,45.71052321
1.822545833,-3.570785522,-16.49660492,-42.70904541,45.92331699
1.832491833,-3.716186523,-16.36952209,-42.74401855,45.92191653
1.842436833,-3.673019409,-16.52050781,-43.11578369,46.31834467
1.852382833,-3.57333374,-16.35778046,-43.1184082,46.25519237
1.862327833,-3.513320923,-16.50791931,-43.18002319,46.36129018
1.872272833,-3.804718018,-16.74520874,-43.12802124,46.42094475
1.882218833,-3.563262939,-16.52312469,-42.8538208,46.06691274
1.892163833,-3.580734253,-16.33470154,-42.659729,45.82026419
1.902108833,-3.369232178,-16.49273682,-42.44491577,45.66106622
1.912054833,-3.576171875,-16.22783661,-42.69570923,45.81544797
1.921999833,-3.564910889,-16.2364502,-42.48321533,45.61967218
1.931945833,-3.402694702,-16.40383148,-42.75979614,45.92454882
1.941890833,-3.402069092,-16.19862366,-42.48605347,45.59642773
1.951835833,-3.481643677,-16.40749359,-42.47180176,45.66378908
1.961781833,-3.219146729,-16.33113861,-42.47344971,45.61866859
1.971726833,-3.763275146,-16.25172424,-42.46899414,45.62780122
1.981671833,-3.828491211,-16.28610229,-42.62197876,45.7878537
1.991617833,-3.652023315,-16.28224182,-42.94921875,46.07693636
2.001562833,-3.922454834,-16.14990997,-42.79998779,45.91344247
2.011508833,-3.644210815,-16.33185577,-42.87213135,46.02205375
2.021453833,-3.850692749,-16.3655777,-42.81018066,45.99316837
2.031398833,-3.774398804,-16.28580475,-42.6182251,45.77976227
2.041344833,-3.696563721,-16.18474579,-42.9234314,46.02207669
2.051289833,-3.714370728,-16.17559814,-42.98223877,46.07514921
2.061234833,-3.667129517,-16.31536102,-42.94009399,46.08134673
2.071180833,-3.778686523,-16.27357483,-42.79656982,45.94185563
2.081125833,-3.999923706,-16.34856415,-42.715271,45.91153794
2.091071833,-4.154937744,-16.10494995,-42.57489014,45.70836018
2.101016833,-4.110733032,-16.25144958,-42.61630249,45.79472653
2.110961833,-4.420425415,-16.25975037,-42.48916626,45.70830222
2.120907833,-4.325592041,-16.36481476,-42.72369385,45.9546725
2.130852833,-4.128875732,-16.47800446,-42.85137939,46.09569353
2.140797833,-4.146408081,-16.28620148,-42.70077515,45.88887944
2.150743833,-4.012985229,-16.35917664,-42.5718689,45.78308347
2.160688833,-4.141876221,-16.34406281,-42.6151123,45.82937185
2.170634833,-4.06388855,-16.57145691,-42.52532959,45.8206507
